Subject ID,True_block,Trial_type,Group,Accuracy,Reaction_time
06AA6,1,incongruent,A,1,0.717529806
06AA6,1,congruent,A,1,0.510682062
06AA6,1,incongruent,A,1,0.721953028
06AA6,1,congruent,A,1,0.626661668
06AA6,1,congruent,A,1,0.641850074
06AA6,1,incongruent,A,1,0.662552875
06AA6,2,incongruent,A,1,0.70356446
06AA6,2,congruent,A,1,0.659791798
06AA6,2,congruent,A,1,0.636568616
06AA6,2,incongruent,A,1,0.717615248
06AA6,2,incongruent,A,1,0.922705106
06AA6,2,incongruent,A,1,1.172616092
06AA6,2,congruent,A,1,0.712589086
06AA6,2,congruent,A,1,0.638833508
06AA6,2,incongruent,A,1,0.749513082
06AA6,2,incongruent,A,1,0.763651165
06AA6,2,congruent,A,1,0.572128238
06AA6,2,congruent,A,1,0.523830495
06AA6,3,incongruent,A,1,0.770887608
06AA6,3,incongruent,A,1,0.57209789
06AA6,3,incongruent,A,1,0.574100774
06AA6,3,congruent,A,1,0.387777874
06AA6,3,congruent,A,1,0.552886031
06AA6,3,incongruent,A,1,0.464495264
06AA6,3,incongruent,A,1,0.60804431
06AA6,3,congruent,A,1,0.528600336
06AA6,3,incongruent,A,1,0.415920962
06AA6,3,congruent,A,1,0.544593261
06AA6,3,congruent,A,1,0.515688679
06AA6,3,congruent,A,1,0.5346468
098A8,1,incongruent,A,0,1.053198188
098A8,1,congruent,A,1,0.854907848
098A8,1,congruent,A,1,0.51887191
098A8,1,congruent,A,1,0.429118573
098A8,1,congruent,A,1,0.551163115
098A8,1,incongruent,A,1,0.456992534
098A8,1,congruent,A,1,0.579827617
098A8,1,incongruent,A,1,0.539743297
098A8,1,incongruent,A,1,0.549565378
098A8,1,congruent,A,1,0.647517477
098A8,1,incongruent,A,1,0.487001563
098A8,1,incongruent,A,1,0.43863889
098A8,2,incongruent,A,1,0.491333827
098A8,2,congruent,A,1,0.468046307
098A8,2,congruent,A,1,0.46683258
098A8,2,incongruent,A,1,0.403172251
098A8,2,incongruent,A,1,0.507790912
098A8,2,congruent,A,1,0.441135095
098A8,2,incongruent,A,1,0.4604156
098A8,2,congruent,A,1,0.470878122
098A8,2,incongruent,A,1,0.538629929
098A8,2,congruent,A,1,0.622408857
098A8,2,incongruent,A,1,0.408515578
098A8,2,congruent,A,1,0.395944051
098A8,3,incongruent,A,1,0.662531133
098A8,3,congruent,A,1,0.557176735
098A8,3,congruent,A,1,0.407915033
098A8,3,congruent,A,1,0.613124895
098A8,3,congruent,A,1,0.456480387
098A8,3,incongruent,A,1,0.628439175
098A8,3,incongruent,A,1,0.633529677
098A8,3,congruent,A,1,0.464542895
098A8,3,incongruent,A,1,0.443885281
